Код сотрудника,Должность,ФИО ,Логин ,Пароль,Последний вход,Тип входа
ID 101,Продавец,Иванов Иван Иванович,Ivanov@namecomp.ru,2L6KZG,15:05:2022 13:13:00,Успешно
ID 102,Продавец,Петров Петр Петрович,petrov@namecomp.ru,uzWC67,15:05:2022 13:13:00,Успешно
ID 103,Администратор,Федоров Федор Федорович,fedorov@namecomp.ru,8ntwUp,15:05:2022 13:13:00,Успешно
ID 104,Старший смены,Миронов Вениамин Куприянович,mironov@namecomp.ru,YOyhfR,15:05:2022 13:13:00,Успешно
ID 105,Старший смены,Ширяев Ермолай Вениаминович,shiryev@namecomp.ru,RSbvHv,15:05:2022 13:13:00,Неуспешно
ID 106,Старший смены,Игнатов Кассиан Васильевич,ignatov@namecomp.ru,rwVDh9,15:05:2022 13:13:00,Успешно
ID 107,Продавец,Хохлов Владимир Мэлсович,hohlov@namecomp.ru,LdNyos,15:05:2022 13:13:00,Успешно
ID 108,Продавец,Стрелков Мстислав Георгьевич,strelkov@namecomp.ru,gynQMT,15:05:2022 13:13:00,Неуспешно
ID 109,Продавец,Беляева Лилия Наумовна,belyeva@@namecomp.ru,AtnDjr,15:05:2022 13:13:00,Успешно
ID 110,Продавец,Смирнова Ульяна Гордеевна,smirnova@@namecomp.ru,JlFRCZ,15:05:2022 13:13:00,Успешно
